CPU Name,Predicted CPU Mark,Actual CPU Mark,Accuracy (%)
Intel Core i5-655K @ 3.20GHz,1936.65,2017,69.84687868080094
Intel Pentium E6500 @ 2.93GHz,1187.94,1172,69.84687868080094
[Dual CPU] Intel Xeon Platinum 8380 @ 2.30GHz,89228.92,91257,69.84687868080094
Intel Xeon E5-4620 @ 2.20GHz,7078.53,7037,69.84687868080094
AMD PRO A8-8650B,3337.54,3211,69.84687868080094
Intel Xeon E5-2667 v2 @ 3.30GHz,12589.6,12266,69.84687868080094
Intel Xeon w5-2455X,33087.45,37918,69.84687868080094
Intel Core i3-5157U @ 2.50GHz,2603.89,2593,69.84687868080094
Intel Xeon E5-2687W @ 3.10GHz,9126.02,9996,69.84687868080094
Intel Core i5-14600KF,40075.09,39329,69.84687868080094
AMD A8-9600,3386.51,3304,69.84687868080094
Intel Xeon E3-1270 v6 @ 3.80GHz,8658.41,8931,69.84687868080094
Intel Atom x5-Z8350 @ 1.44GHz,793.75,891,69.84687868080094
Intel Core i5-1240P,17912.6,17157,69.84687868080094
AMD Ryzen 3 3200U,3782.37,3795,69.84687868080094
[Quad CPU] Intel Xeon E7320 @ 2.13GHz,4801.41,5286,69.84687868080094
Intel Core i5-8300H @ 2.30GHz,7537.5,7467,69.84687868080094
Intel Xeon Phi 7210 @ 1.30GHz,25551.59,7306,69.84687868080094
Intel Celeron 7305E,2363.49,2404,69.84687868080094
AMD A4 PRO-7300B APU,1487.76,1458,69.84687868080094
Intel Pentium J4205 @ 1.50GHz,2205.13,2406,69.84687868080094
Intel Core i5-1335U,14841.51,14769,69.84687868080094
AMD A10-7400P,2346.7,2078,69.84687868080094
AMD EPYC 8124P,37035.0,36470,69.84687868080094
Intel Core i7-13700,39456.28,37037,69.84687868080094
AMD Ryzen 5 PRO 5650GE,18317.51,18382,69.84687868080094
AMD A9-9400,1968.91,1363,69.84687868080094
AMD Ryzen 9 8945HS,29578.47,29414,69.84687868080094
AMD Athlon X2 250,942.38,855,69.84687868080094
AMD E1-7010 APU,490.99,592,69.84687868080094
[Dual CPU] Intel Xeon E5-2630L v3 @ 1.80GHz,16037.0,14759,69.84687868080094
Intel Atom N475 @ 1.83GHz,193.99,179,69.84687868080094
Intel Xeon D-1747NTE @ 2.50GHz,17152.43,20279,69.84687868080094
[Dual CPU] Intel Xeon E5-2697 v3 @ 2.60GHz,25777.22,26746,69.84687868080094
AMD EPYC 7313P,41549.28,41657,69.84687868080094
Intel Core i3-2340UE @ 1.30GHz,803.65,976,69.84687868080094
[Dual CPU] Intel Xeon E5-2637 v2 @ 3.50GHz,12433.42,12040,69.84687868080094
[Dual CPU] Intel Xeon E5-2620 v2 @ 2.10GHz,11039.16,10843,69.84687868080094
Intel Core Ultra 5 135U,17951.68,17672,69.84687868080094
AMD Ryzen 3 PRO 4350G,10219.34,10921,69.84687868080094
Intel Core i5-560UM @ 1.33GHz,1017.68,1015,69.84687868080094
Intel Celeron G1620 @ 2.70GHz,1647.61,1560,69.84687868080094
AMD EPYC 7402P,44511.27,44068,69.84687868080094
AMD Ryzen 5 4600G,15444.75,16071,69.84687868080094
Intel Core i7-2675QM @ 2.20GHz,3557.16,3828,69.84687868080094
Intel Pentium 3556U @ 1.70GHz,1098.75,1058,69.84687868080094
Intel Core2 Duo P7350 @ 2.00GHz,766.62,748,69.84687868080094
AMD Athlon II X4 641 Quad-Core,2243.95,2313,69.84687868080094
Intel Xeon W-3375 @ 2.50GHz,58996.88,59069,69.84687868080094
Intel Core i5-8600T @ 2.30GHz,10378.32,9340,69.84687868080094
AMD PRO A10-8770,3885.2,3572,69.84687868080094
Intel Atom C2550 @ 2.40GHz,1370.28,1422,69.84687868080094
Intel Pentium E6700 @ 3.20GHz,1219.62,1182,69.84687868080094
Intel Core i5-6200U @ 2.30GHz,2869.77,2995,69.84687868080094
Intel Core i3-13100T,13322.88,13054,69.84687868080094
Intel Xeon E-2436,22172.02,22398,69.84687868080094
[Dual CPU] Intel Xeon Platinum 8280 @ 2.70GHz,63667.12,64291,69.84687868080094
AMD A6-6420B APU,1629.25,1550,69.84687868080094
Intel Xeon w5-2545,35524.61,41688,69.84687868080094
Intel Xeon Gold 6448Y,63965.72,60449,69.84687868080094
AMD A4-5300 APU,1373.08,1365,69.84687868080094
AMD Ryzen 7 2700,15014.05,15699,69.84687868080094
AMD Athlon 64 FX-62 Dual Core,1011.5,993,69.84687868080094
Intel Core i7-1060NG7 @ 1.20GHz,5725.24,6521,69.84687868080094
AMD Athlon II Neo N36L Dual-Core,498.09,487,69.84687868080094
Intel Xeon E5-2679 v4 @ 2.50GHz,25277.06,24131,69.84687868080094
AMD Ryzen 5 5600GT,19856.92,20258,69.84687868080094
AMD Ryzen 7 8840HS,23941.25,24603,69.84687868080094
[Dual CPU] Intel Xeon 5150 @ 2.66GHz,2016.95,2043,69.84687868080094
Intel Pentium Gold G6400E @ 3.80GHz,4072.46,3908,69.84687868080094
Intel Xeon D-1557 @ 1.50GHz,8655.62,9285,69.84687868080094
[Quad CPU] AMD Opteron 8356,5657.58,5397,69.84687868080094
Intel Pentium G2020T @ 2.50GHz,1519.52,1430,69.84687868080094
Intel Core i3-4158U @ 2.00GHz,1590.23,1921,69.84687868080094
Intel Xeon E3-1286L v3 @ 3.20GHz,7141.51,6929,69.84687868080094
Intel Atom x6414RE @ 1.50GHz,1220.94,1544,69.84687868080094
Intel Pentium G645 @ 2.90GHz,1404.06,1418,69.84687868080094
Intel Core2 Duo T6670 @ 2.20GHz,836.53,818,69.84687868080094
Intel Core i5-3437U @ 1.90GHz,2504.02,2301,69.84687868080094
Intel Pentium Gold G5620 @ 4.00GHz,4426.6,4272,69.84687868080094
Intel Xeon E5-2650 @ 2.00GHz,7356.85,7375,69.84687868080094
AMD A4-6250J APU,1682.75,1656,69.84687868080094
AMD Opteron 275,724.33,839,69.84687868080094
Intel Core i7-9850HL @ 1.90GHz,7644.03,7897,69.84687868080094
Intel Xeon X5679 @ 3.20GHz,6912.34,7095,69.84687868080094
AMD Ryzen Threadripper 3970X,63419.97,63106,69.84687868080094
AMD Athlon II N330 Dual-Core,708.6,665,69.84687868080094
Intel Core i3-4030Y @ 1.60GHz,1506.64,1654,69.84687868080094
[Dual CPU] AMD Opteron 6328,8979.38,9508,69.84687868080094
AMD PRO A12-8870,4180.45,3869,69.84687868080094
Intel Xeon D-2795NT @ 2.00GHz,31037.54,28463,69.84687868080094
Intel Pentium 957 @ 1.20GHz,600.89,622,69.84687868080094
Intel Core i7-4790 @ 3.60GHz,7191.54,7270,69.84687868080094
Intel Pentium E5500 @ 2.80GHz,1052.74,1037,69.84687868080094
AMD Opteron 4130,2326.51,2347,69.84687868080094
AMD EPYC 9354P,79993.75,76605,69.84687868080094
Intel Pentium J2850 @ 2.41GHz,1287.69,1016,69.84687868080094
AMD A8-6500B APU,2922.07,2876,69.84687868080094
Intel N97,6545.06,5819,69.84687868080094
Intel Core i5-6442EQ @ 1.90GHz,5382.64,4487,69.84687868080094
AMD EPYC 7F52,40229.62,40251,69.84687868080094
Intel Core Solo U1500 @ 1.33GHz,177.65,164,69.84687868080094
Intel Core i5-14400,27838.23,25796,69.84687868080094
Intel Xeon 5120 @ 1.86GHz,719.68,763,69.84687868080094
AMD A10-7800 APU,3206.61,3208,69.84687868080094
Intel Xeon E5607 @ 2.27GHz,2150.31,2686,69.84687868080094
Intel Xeon X3430 @ 2.40GHz,1970.81,2293,69.84687868080094
Intel Celeron N4100 @ 1.10GHz,2770.94,2454,69.84687868080094
VIA Nano L2100@1800MHz,168.42,279,69.84687868080094
Intel Xeon Gold 6248 @ 2.50GHz,29869.32,29831,69.84687868080094
AMD EPYC 7713,92657.25,82666,69.84687868080094
AMD Ryzen 5 7530U,14764.55,16075,69.84687868080094
AMD C-30,182.09,178,69.84687868080094
AMD Ryzen 9 5900HS Creator Edition,22011.52,22138,69.84687868080094
[Dual CPU] Intel Xeon E7- 4807 @ 1.87GHz,6159.1,6223,69.84687868080094
AMD FX-8370 Eight-Core,5638.16,6171,69.84687868080094
Intel Pentium G3240T @ 2.70GHz,1635.03,1630,69.84687868080094
Intel Pentium G4400T @ 2.90GHz,2633.77,2345,69.84687868080094
Intel Core i5-1145G7 @ 2.60GHz,10688.66,9800,69.84687868080094
AMD Turion II Ultra Dual-Core Mobile M640,1011.34,1034,69.84687868080094
Intel Core i3-2312M @ 2.10GHz,1005.58,1128,69.84687868080094
AMD Ryzen Threadripper 2920X,24924.91,25427,69.84687868080094
Intel Core i7-5850EQ @ 2.70GHz,6881.52,7036,69.84687868080094
[Dual CPU] Intel Xeon 3.40GHz,982.01,843,69.84687868080094
Intel Core i5-10310U @ 1.70GHz,6677.91,6434,69.84687868080094
AMD Opteron 3380,4323.78,4134,69.84687868080094
Intel Core i5-4300M @ 2.60GHz,2908.87,2970,69.84687868080094
Intel Core Duo T2400 @ 1.83GHz,354.52,362,69.84687868080094
Intel Celeron 2002E @ 1.50GHz,991.3,1091,69.84687868080094
AMD GX-218GL SOC,715.65,754,69.84687868080094
[Dual CPU] Intel Xeon Gold 6254 @ 3.10GHz,54095.02,53981,69.84687868080094
Intel Core i7-12700,31733.11,30788,69.84687868080094
Intel Xeon E5-4667 v4 @ 2.20GHz,20473.98,20319,69.84687868080094
AMD Ryzen 5 PRO 7530U,15152.28,15015,69.84687868080094
Intel Xeon E5-2699 v3 @ 2.30GHz,19875.28,20316,69.84687868080094
[Dual CPU] Intel Xeon Gold 6548Y+,81335.21,85587,69.84687868080094
Intel Xeon E-2288G @ 3.70GHz,17502.6,17444,69.84687868080094
[Dual CPU] Intel Xeon W5580 @ 3.20GHz,5340.02,6384,69.84687868080094
Intel Celeron M 420 @ 1.60GHz,204.48,139,69.84687868080094
Intel Core i7-1370P,21047.81,20193,69.84687868080094
Intel Xeon 3.00GHz,409.87,425,69.84687868080094
AMD Ryzen 7 PRO 6860Z,20229.84,20863,69.84687868080094
Intel Core i7-8700B @ 3.20GHz,14527.3,11917,69.84687868080094
AMD Ryzen 7 7840H,26364.97,28391,69.84687868080094
[Dual CPU] AMD Opteron 2220,1582.32,1533,69.84687868080094
Intel Xeon W-2225 @ 4.10GHz,9210.63,10539,69.84687868080094
[Dual CPU] Intel Xeon Platinum 8568Y+,113703.64,125432,69.84687868080094
Intel Core i3-3110M @ 2.40GHz,1647.71,1634,69.84687868080094
Intel Xeon E5-1660 v2 @ 3.70GHz,10336.7,10268,69.84687868080094
Intel Xeon E-2246G @ 3.60GHz,13792.99,13785,69.84687868080094
Intel Xeon E5-2648L v2 @ 1.90GHz,9787.99,8828,69.84687868080094
AMD A6-5350M APU,1237.86,1232,69.84687868080094
Intel Core i3-11100HE @ 2.40GHz,12175.47,11289,69.84687868080094
[Dual CPU] Intel Xeon E5540 @ 2.53GHz,4668.14,4793,69.84687868080094
[Quad CPU] AMD Opteron 6278,13139.07,13733,69.84687868080094
Intel Xeon E3-1505M v6 @ 3.00GHz,7590.31,7466,69.84687868080094
[Dual CPU] AMD EPYC 9474F,141301.05,148891,69.84687868080094
AMD A10-9630P,3067.88,2909,69.84687868080094
Intel Core i7-10875H @ 2.30GHz,15390.92,14907,69.84687868080094
Intel Core i3-550 @ 3.20GHz,1517.42,1608,69.84687868080094
[Dual CPU] Intel Xeon E5-2658 v4 @ 2.30GHz,27639.46,27797,69.84687868080094
Intel Xeon Platinum 8176 @ 2.10GHz,25665.6,23179,69.84687868080094
Intel Core i7-8665UE @ 1.70GHz,5409.14,5170,69.84687868080094
[Dual CPU] Intel Xeon Platinum 8256 @ 3.80GHz,16224.2,16787,69.84687868080094
AMD EPYC 4584PX,56822.74,62120,69.84687868080094
[Dual CPU] Intel Xeon E5-2650 v3 @ 2.30GHz,20647.79,19743,69.84687868080094
Intel Celeron 440 @ 2.00GHz,378.52,368,69.84687868080094
Intel Pentium Gold G7400T,5437.39,5737,69.84687868080094
AMD Opteron 4284,4237.4,4665,69.84687868080094
AMD Ryzen 5 PRO 7540U,18386.99,18071,69.84687868080094
Intel Core i7-4810MQ @ 2.80GHz,6099.87,6062,69.84687868080094
AMD Athlon 64 X2 QL-65,638.05,637,69.84687868080094
Intel Pentium 6405U @ 2.40GHz,2308.17,2356,69.84687868080094
AMD A8-7600 APU,3195.9,3215,69.84687868080094
Intel Core i5-8500 @ 3.00GHz,9919.32,9548,69.84687868080094
Intel Core i5-6400 @ 2.70GHz,5080.81,5164,69.84687868080094
Intel Celeron 807 @ 1.50GHz,303.59,392,69.84687868080094
Intel Core i3-4360 @ 3.70GHz,3571.04,3647,69.84687868080094
AMD A6-3420M APU,1568.72,1294,69.84687868080094
AMD E2-3000 APU,703.06,726,69.84687868080094
[Dual CPU] Intel Xeon E7-8880 v4 @ 2.20GHz,39347.08,37875,69.84687868080094
AMD A4 PRO-3340B,1681.03,1645,69.84687868080094
Intel Celeron M 443 @ 1.20GHz,179.2,125,69.84687868080094
[Dual CPU] Intel Xeon Gold 5318Y @ 2.10GHz,57164.34,56985,69.84687868080094
AMD A8-6600K APU,2990.4,3007,69.84687868080094
Intel Xeon 3050 @ 2.13GHz,673.76,818,69.84687868080094
Intel Core i3-530 @ 2.93GHz,1358.05,1500,69.84687868080094
AMD FX-6330 Six-Core,4203.22,4433,69.84687868080094
Intel Pentium G3258 @ 3.20GHz,2120.38,2076,69.84687868080094
AMD E2-7110 APU,1455.67,1515,69.84687868080094
AMD Turion X2 Dual-Core Mobile RM-76,803.01,799,69.84687868080094
[Quad CPU] AMD Opteron 6378,12862.17,13236,69.84687868080094
Intel Xeon X3480 @ 3.07GHz,3304.36,3273,69.84687868080094
Intel Core i7-4771 @ 3.50GHz,7099.55,7137,69.84687868080094
Intel Core i7-8565U @ 1.80GHz,6311.0,6067,69.84687868080094
Intel Core m5-6Y57 @ 1.10GHz,2211.63,2352,69.84687868080094
[Dual CPU] Intel Xeon E5503 @ 2.00GHz,1582.93,1787,69.84687868080094
Intel Core i3-8100 @ 3.60GHz,6222.87,6108,69.84687868080094
Intel Celeron 1020M @ 2.10GHz,1299.6,1275,69.84687868080094
[Dual CPU] Intel Xeon Bronze 3206R @ 1.90GHz,11027.55,10797,69.84687868080094
Intel Xeon X5647 @ 2.93GHz,3608.68,4441,69.84687868080094
AMD EPYC 8324P,56353.28,57127,69.84687868080094
AMD Athlon X2 Dual Core L310,383.88,329,69.84687868080094
AMD Sempron 3850 APU,982.66,1150,69.84687868080094
Intel Atom C1110,2927.48,3170,69.84687868080094
AMD Ryzen 3 PRO 5450U,10677.64,11015,69.84687868080094
Intel Core M-5Y70 @ 1.10GHz,1839.86,1823,69.84687868080094
AMD EPYC 9754,105807.76,100460,69.84687868080094
[Dual CPU] Intel Xeon E7- 4850 @ 2.00GHz,8694.0,9571,69.84687868080094
[Dual CPU] Intel Xeon Silver 4416+,67159.15,64909,69.84687868080094
[Dual CPU] Intel Xeon E5-4669 v3 @ 2.10GHz,30516.68,31494,69.84687868080094
[Dual CPU] Intel Xeon X5460 @ 3.16GHz,5026.3,5066,69.84687868080094
Intel Core i7-6700K @ 4.00GHz,7945.75,8927,69.84687868080094
[Quad CPU] Intel Xeon Gold 5318H @ 2.50GHz,60808.74,70723,69.84687868080094
Intel Xeon W3550 @ 3.07GHz,3149.99,3214,69.84687868080094
Intel Core i7-3770K @ 3.50GHz,6217.36,6462,69.84687868080094
Intel Xeon E3-1575M v5 @ 3.00GHz,7807.71,8006,69.84687868080094
[Dual CPU] Intel Xeon E5-2450 v2 @ 2.50GHz,16349.24,16884,69.84687868080094
Intel Xeon Silver 4510,35401.28,34170,69.84687868080094
AMD E-350 APU,424.06,423,69.84687868080094
[Dual CPU] Intel Xeon E5-2650L v4 @ 1.70GHz,22991.62,25440,69.84687868080094
Intel Pentium Silver N5020 @ 1.10GHz,3125.78,3404,69.84687868080094
Intel Pentium 4415Y @ 1.60GHz,1255.85,1581,69.84687868080094
Intel Core i7-3610QE @ 2.30GHz,4772.31,5026,69.84687868080094
AMD Athlon X2 255,977.02,938,69.84687868080094
Intel Xeon E5-2403 v2 @ 1.80GHz,2124.54,2873,69.84687868080094
AMD EPYC 9184X,46867.91,50344,69.84687868080094
Intel Core i5-2430M @ 2.40GHz,1976.81,2004,69.84687868080094
AMD PRO A12-8830B,2763.13,2517,69.84687868080094
Intel Xeon E-2334 @ 3.40GHz,13553.15,13011,69.84687868080094
AMD EPYC 7742,71685.23,69663,69.84687868080094
Intel Core2 Duo E6700 @ 2.66GHz,984.63,990,69.84687868080094
Intel Xeon E5-4650L @ 2.60GHz,8694.07,8533,69.84687868080094
Intel Xeon W-11155MLE @ 1.80GHz,5853.1,8502,69.84687868080094
AMD Ryzen 3 5300U,9375.19,9680,69.84687868080094
Intel Core i3-10300 @ 3.70GHz,9260.74,9308,69.84687868080094
AMD Ryzen 7 7735H,23795.98,24025,69.84687868080094
AMD Ryzen 7 7840HS,27998.14,28916,69.84687868080094
AMD A10-7890K,3470.74,3519,69.84687868080094
Intel Core i5-10505 @ 3.20GHz,14535.49,12156,69.84687868080094
[Dual CPU] Intel Xeon X5647 @ 2.93GHz,7781.33,8369,69.84687868080094
Intel Core2 Duo E8500 @ 3.16GHz,1271.49,1268,69.84687868080094
Intel Core i7-9700E @ 2.60GHz,14693.47,12600,69.84687868080094
AMD Athlon 64 4000+,332.9,340,69.84687868080094
Intel Core2 Duo E7200 @ 2.53GHz,972.61,996,69.84687868080094
AMD EPYC 4124P,14522.82,18637,69.84687868080094
AMD Athlon II X2 250u,677.94,597,69.84687868080094
[Dual CPU] Intel Xeon E5-2650 v2 @ 2.60GHz,16726.18,17389,69.84687868080094
AMD Athlon II N350 Dual-Core,867.26,767,69.84687868080094
AMD Ryzen 5 PRO 2500U,6359.7,6638,69.84687868080094
AMD GX-222GC SOC,1056.23,1044,69.84687868080094
Intel Core i7-2700K @ 3.50GHz,5518.38,5744,69.84687868080094
AMD Ryzen Threadripper 1950X,28722.66,27612,69.84687868080094
Intel Core i9-13900KS,60014.53,61686,69.84687868080094
Mobile Intel Pentium 4 3.06GHz,230.36,220,69.84687868080094
AMD Ryzen 5 8600G,25539.47,25285,69.84687868080094
Intel Core i7-7560U @ 2.40GHz,3820.8,3780,69.84687868080094
Intel Xeon Platinum 8380 @ 2.30GHz,61024.09,62318,69.84687868080094
AMD Opteron 180,705.09,746,69.84687868080094
[Quad CPU] Intel Xeon E5-4667 v4 @ 2.20GHz,53768.78,53402,69.84687868080094
Intel Celeron G530T @ 2.00GHz,1054.28,1056,69.84687868080094
AMD Ryzen 5 3600XT,15964.01,18640,69.84687868080094
Intel Core Duo L2300 @ 1.50GHz,432.35,387,69.84687868080094
Intel Core2 Duo T8300 @ 2.40GHz,914.86,896,69.84687868080094
AMD Turion X2 Dual Core Mobile RM-70,453.16,497,69.84687868080094
Intel Xeon Gold 6262 @ 1.90GHz,21003.34,21823,69.84687868080094
[Dual CPU] Intel Xeon Platinum 8260M @ 2.30GHz,55964.41,55297,69.84687868080094
AMD Athlon Neo X2 Dual Core L325,545.32,556,69.84687868080094
[Quad CPU] Intel Xeon E5-4669 v3 @ 2.10GHz,45850.81,41232,69.84687868080094
AMD Athlon PRO 300U,4024.65,4080,69.84687868080094
Intel Core i5-4460T @ 1.90GHz,3719.91,3647,69.84687868080094
Intel Xeon Gold 6246R @ 3.40GHz,30681.31,30468,69.84687868080094
[Dual CPU] Intel Xeon Gold 6268CL @ 2.80GHz,60108.51,60687,69.84687868080094
Intel Core i5-4570TE @ 2.70GHz,2798.88,3074,69.84687868080094
AMD A6-5400K APU,1267.06,1270,69.84687868080094
[Dual CPU] Intel Xeon Gold 6262 @ 1.90GHz,50167.49,47488,69.84687868080094
AMD Turion 64 Mobile ML-30,224.49,277,69.84687868080094
AMD Ryzen Threadripper PRO 7985WX,134956.84,135597,69.84687868080094
Intel Xeon E5-4610 v3 @ 1.70GHz,7471.28,7229,69.84687868080094
AMD Ryzen 5 Pro 7535U,17522.43,17547,69.84687868080094
Intel Xeon L3360 @ 2.83GHz,2713.59,2412,69.84687868080094
Intel Core i7-940 @ 2.93GHz,2971.78,2947,69.84687868080094
Intel Xeon Silver 4215 @ 2.50GHz,15150.65,14439,69.84687868080094
